GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US10922,10922,ZCTA5 10922,998,229
8600000US10923,10923,ZCTA5 10923,8587,816
8600000US10924,10924,ZCTA5 10924,13091,480
8600000US10925,10925,ZCTA5 10925,4370,297
8600000US10926,10926,ZCTA5 10926,3009,466
8600000US10927,10927,ZCTA5 10927,11711,27
8600000US10928,10928,ZCTA5 10928,4009,70
8600000US10930,10930,ZCTA5 10930,8937,512
8600000US10931,10931,ZCTA5 10931,1024,188
8600000US10932,10932,ZCTA5 10932,71,108
8600000US10933,10933,ZCTA5 10933,216,212
8600000US10940,10940,ZCTA5 10940,48800,1196
8600000US10941,10941,ZCTA5 10941,13585,750
8600000US10950,10950,ZCTA5 10950,46739,829
8600000US10952,10952,ZCTA5 10952,38285,1330
8600000US10953,10953,ZCTA5 10953,152,203
8600000US10954,10954,ZCTA5 10954,23125,1000
8600000US10956,10956,ZCTA5 10956,31335,848
8600000US10958,10958,ZCTA5 10958,3538,636
8600000US10960,10960,ZCTA5 10960,15261,565
8600000US10962,10962,ZCTA5 10962,5915,734
8600000US10963,10963,ZCTA5 10963,3669,445
8600000US10964,10964,ZCTA5 10964,1651,339
8600000US10965,10965,ZCTA5 10965,14710,760
8600000US10968,10968,ZCTA5 10968,2099,179
8600000US10969,10969,ZCTA5 10969,1522,548
8600000US10970,10970,ZCTA5 10970,9795,820
8600000US10973,10973,ZCTA5 10973,2286,501
8600000US10974,10974,ZCTA5 10974,3125,59
8600000US10975,10975,ZCTA5 10975,455,173
8600000US10976,10976,ZCTA5 10976,2087,474
8600000US10977,10977,ZCTA5 10977,57800,1335
8600000US10979,10979,ZCTA5 10979,192,151
8600000US10980,10980,ZCTA5 10980,13330,427
8600000US10983,10983,ZCTA5 10983,5528,543
8600000US10984,10984,ZCTA5 10984,3282,510
8600000US10985,10985,ZCTA5 10985,115,172
8600000US10986,10986,ZCTA5 10986,2013,350
8600000US10987,10987,ZCTA5 10987,3196,169
8600000US10988,10988,ZCTA5 10988,902,348
8600000US10989,10989,ZCTA5 10989,9934,742
8600000US10990,10990,ZCTA5 10990,20598,622
8600000US10992,10992,ZCTA5 10992,10460,703
8600000US10993,10993,ZCTA5 10993,4587,509
8600000US10994,10994,ZCTA5 10994,6861,488
8600000US10996,10996,ZCTA5 10996,7570,235
8600000US10998,10998,ZCTA5 10998,3082,409
8600000US11001,11001,ZCTA5 11001,26905,902
8600000US11003,11003,ZCTA5 11003,43910,1732
8600000US11004,11004,ZCTA5 11004,14050,1052
8600000US11005,11005,ZCTA5 11005,1797,198
8600000US11010,11010,ZCTA5 11010,23790,949
8600000US11020,11020,ZCTA5 11020,5975,802
8600000US11021,11021,ZCTA5 11021,17544,491
8600000US11023,11023,ZCTA5 11023,8954,502
8600000US11024,11024,ZCTA5 11024,7853,414
8600000US11030,11030,ZCTA5 11030,17914,722
8600000US11040,11040,ZCTA5 11040,40296,969
8600000US11042,11042,ZCTA5 11042,534,489
8600000US11050,11050,ZCTA5 11050,30197,747
8600000US11096,11096,ZCTA5 11096,8443,729
8600000US11101,11101,ZCTA5 11101,23798,1205
8600000US11102,11102,ZCTA5 11102,33432,1667
8600000US11103,11103,ZCTA5 11103,36508,1410
8600000US11104,11104,ZCTA5 11104,26230,1320
8600000US11105,11105,ZCTA5 11105,38103,1389
8600000US11106,11106,ZCTA5 11106,36305,1697
8600000US11109,11109,ZCTA5 11109,2916,403
8600000US11201,11201,ZCTA5 11201,51356,1794
8600000US11203,11203,ZCTA5 11203,80337,2065
8600000US11204,11204,ZCTA5 11204,78690,2354
8600000US11205,11205,ZCTA5 11205,38997,1566
8600000US11206,11206,ZCTA5 11206,79674,2246
8600000US11207,11207,ZCTA5 11207,89676,2191
8600000US11208,11208,ZCTA5 11208,93447,2639
8600000US11209,11209,ZCTA5 11209,71704,1926
8600000US11210,11210,ZCTA5 11210,64508,2308
8600000US11211,11211,ZCTA5 11211,90522,2406
8600000US11212,11212,ZCTA5 11212,80311,2029
8600000US11213,11213,ZCTA5 11213,62231,2129
8600000US11214,11214,ZCTA5 11214,78326,2038
8600000US11215,11215,ZCTA5 11215,65477,1555
8600000US11216,11216,ZCTA5 11216,53065,1752
8600000US11217,11217,ZCTA5 11217,38992,1400
8600000US11218,11218,ZCTA5 11218,76811,2463
8600000US11219,11219,ZCTA5 11219,94083,2412
8600000US11220,11220,ZCTA5 11220,99540,2605
8600000US11221,11221,ZCTA5 11221,77041,2487
8600000US11222,11222,ZCTA5 11222,33482,1199
8600000US11223,11223,ZCTA5 11223,73208,2106
8600000US11224,11224,ZCTA5 11224,45092,1586
8600000US11225,11225,ZCTA5 11225,58987,1924
8600000US11226,11226,ZCTA5 11226,99422,3033
8600000US11228,11228,ZCTA5 11228,42585,1686
8600000US11229,11229,ZCTA5 11229,77021,2183
8600000US11230,11230,ZCTA5 11230,85757,2174
8600000US11231,11231,ZCTA5 11231,35109,1217
8600000US11232,11232,ZCTA5 11232,27925,1138
8600000US11233,11233,ZCTA5 11233,66315,2114
8600000US11234,11234,ZCTA5 11234,94891,2176
8600000US11235,11235,ZCTA5 11235,71129,2241
8600000US11236,11236,ZCTA5 11236,94643,2201
8600000US11237,11237,ZCTA5 11237,52123,2157
8600000US11238,11238,ZCTA5 11238,50840,1770
8600000US11239,11239,ZCTA5 11239,12802,813
8600000US11351,11351,ZCTA5 11351,0,89
8600000US11354,11354,ZCTA5 11354,53050,1949
8600000US11355,11355,ZCTA5 11355,82505,2337
8600000US11356,11356,ZCTA5 11356,21721,1268
8600000US11357,11357,ZCTA5 11357,40516,1359
8600000US11358,11358,ZCTA5 11358,38668,1286
8600000US11359,11359,ZCTA5 11359,0,89
8600000US11360,11360,ZCTA5 11360,20953,1479
8600000US11361,11361,ZCTA5 11361,28926,1110
8600000US11362,11362,ZCTA5 11362,17492,1053
8600000US11363,11363,ZCTA5 11363,7052,533
8600000US11364,11364,ZCTA5 11364,35372,1082
8600000US11365,11365,ZCTA5 11365,41283,1791
8600000US11366,11366,ZCTA5 11366,14160,727
8600000US11367,11367,ZCTA5 11367,38835,1389
8600000US11368,11368,ZCTA5 11368,103401,3424
8600000US11369,11369,ZCTA5 11369,39677,1857
8600000US11370,11370,ZCTA5 11370,38370,2012
8600000US11371,11371,ZCTA5 11371,0,89
8600000US11372,11372,ZCTA5 11372,63520,2163
8600000US11373,11373,ZCTA5 11373,96474,2423
8600000US11374,11374,ZCTA5 11374,42888,1363
8600000US11375,11375,ZCTA5 11375,69266,1734
8600000US11377,11377,ZCTA5 11377,87143,2644
8600000US11378,11378,ZCTA5 11378,33672,1285
8600000US11379,11379,ZCTA5 11379,34529,1183
8600000US11385,11385,ZCTA5 11385,99295,2506
8600000US11411,11411,ZCTA5 11411,20426,901
8600000US11412,11412,ZCTA5 11412,36932,1621
8600000US11413,11413,ZCTA5 11413,39922,1594
8600000US11414,11414,ZCTA5 11414,28480,1116
8600000US11415,11415,ZCTA5 11415,18677,1073
8600000US11416,11416,ZCTA5 11416,23852,1182
8600000US11417,11417,ZCTA5 11417,29928,1413
8600000US11418,11418,ZCTA5 11418,36005,1541
8600000US11419,11419,ZCTA5 11419,48138,1955
8600000US11420,11420,ZCTA5 11420,47243,1931
8600000US11421,11421,ZCTA5 11421,40975,1486
8600000US11422,11422,ZCTA5 11422,31739,1267
8600000US11423,11423,ZCTA5 11423,30890,1447
8600000US11424,11424,ZCTA5 11424,0,89
8600000US11425,11425,ZCTA5 11425,0,89
8600000US11426,11426,ZCTA5 11426,19165,1224
8600000US11427,11427,ZCTA5 11427,24385,1128
8600000US11428,11428,ZCTA5 11428,19764,865
8600000US11429,11429,ZCTA5 11429,29167,1352
8600000US11430,11430,ZCTA5 11430,53,113
8600000US11432,11432,ZCTA5 11432,56900,1594
8600000US11433,11433,ZCTA5 11433,30076,1573
8600000US11434,11434,ZCTA5 11434,61183,2120
8600000US11435,11435,ZCTA5 11435,52358,1857
8600000US11436,11436,ZCTA5 11436,16956,1011
8600000US11451,11451,ZCTA5 11451,0,89
8600000US11501,11501,ZCTA5 11501,18981,252
8600000US11507,11507,ZCTA5 11507,7751,755
8600000US11509,11509,ZCTA5 11509,2250,267
8600000US11510,11510,ZCTA5 11510,32234,965
8600000US11514,11514,ZCTA5 11514,5395,369
8600000US11516,11516,ZCTA5 11516,7479,457
8600000US11518,11518,ZCTA5 11518,10610,536
8600000US11520,11520,ZCTA5 11520,43168,201
8600000US11530,11530,ZCTA5 11530,27835,546
8600000US11542,11542,ZCTA5 11542,27459,222
8600000US11545,11545,ZCTA5 11545,11962,690
8600000US11547,11547,ZCTA5 11547,566,214
8600000US11548,11548,ZCTA5 11548,2301,530
8600000US11549,11549,ZCTA5 11549,2740,432
8600000US11550,11550,ZCTA5 11550,56045,333
8600000US11552,11552,ZCTA5 11552,22975,1144
8600000US11553,11553,ZCTA5 11553,26032,1209
8600000US11554,11554,ZCTA5 11554,37390,1119
8600000US11556,11556,ZCTA5 11556,0,89
8600000US11557,11557,ZCTA5 11557,8047,627
8600000US11558,11558,ZCTA5 11558,8485,274
8600000US11559,11559,ZCTA5 11559,7931,393
8600000US11560,11560,ZCTA5 11560,6501,397
8600000US11561,11561,ZCTA5 11561,37370,443
8600000US11563,11563,ZCTA5 11563,22453,530
8600000US11565,11565,ZCTA5 11565,8909,335
8600000US11566,11566,ZCTA5 11566,34081,874
8600000US11568,11568,ZCTA5 11568,3802,250
8600000US11569,11569,ZCTA5 11569,1459,359
8600000US11570,11570,ZCTA5 11570,26917,552
8600000US11572,11572,ZCTA5 11572,29210,752
8600000US11575,11575,ZCTA5 11575,15677,929
8600000US11576,11576,ZCTA5 11576,12190,677
8600000US11577,11577,ZCTA5 11577,12230,573
8600000US11579,11579,ZCTA5 11579,5290,365
8600000US11580,11580,ZCTA5 11580,40441,1170
8600000US11581,11581,ZCTA5 11581,20129,764
8600000US11590,11590,ZCTA5 11590,43599,1441
8600000US11596,11596,ZCTA5 11596,10412,301
8600000US11598,11598,ZCTA5 11598,12896,782
8600000US11691,11691,ZCTA5 11691,59376,2698
8600000US11692,11692,ZCTA5 11692,17070,1159
8600000US11693,11693,ZCTA5 11693,11407,780
8600000US11694,11694,ZCTA5 11694,20792,1190
8600000US11697,11697,ZCTA5 11697,4381,314
8600000US11701,11701,ZCTA5 11701,27198,1222
8600000US11702,11702,ZCTA5 11702,15372,547
8600000US11703,11703,ZCTA5 11703,15852,755
8600000US11704,11704,ZCTA5 11704,41127,1300
8600000US11705,11705,ZCTA5 11705,7976,357
8600000US11706,11706,ZCTA5 11706,65982,2027
8600000US11709,11709,ZCTA5 11709,6689,22
8600000US11710,11710,ZCTA5 11710,34735,939
8600000US11713,11713,ZCTA5 11713,10122,855
8600000US11714,11714,ZCTA5 11714,23873,1189
8600000US11715,11715,ZCTA5 11715,4610,396
8600000US11716,11716,ZCTA5 11716,10951,594
8600000US11717,11717,ZCTA5 11717,56154,1902
8600000US11718,11718,ZCTA5 11718,3121,18
8600000US11719,11719,ZCTA5 11719,2816,421
8600000US11720,11720,ZCTA5 11720,30407,1489
8600000US11721,11721,ZCTA5 11721,6577,355
